日付,時間,インプレッション,クリック,費用,コンバージョン
2025-08-28,0,520,25,945,1
2025-08-28,1,480,23,874,2
2025-08-28,2,390,18,682,0
2025-08-28,3,650,32,1205,1
2025-08-28,4,590,28,1058,2
2025-08-28,5,525,24,896,1
2025-08-28,6,460,21,789,1
2025-08-28,7,710,35,1340,3
2025-08-28,8,620,30,1138,2
2025-08-28,9,580,27,1024,1
2025-08-28,10,505,23,856,2
2025-08-28,11,675,33,1278,2
2025-08-28,12,540,26,967,1
2025-08-28,13,495,22,834,1
2025-08-28,14,460,20,745,0
2025-08-28,15,620,31,1189,3
2025-08-28,16,580,27,1024,2
2025-08-28,17,525,24,896,1
2025-08-28,18,490,22,823,1
2025-08-28,19,635,32,1234,2
2025-08-28,20,560,26,987,2
2025-08-28,21,485,21,785,1
2025-08-28,22,420,18,672,0
2025-08-28,23,395,16,589,1
